osm_id,amenity_type,name,latitude,longitude
2538151608,place_of_worship,गणेश मन्दिर,27.7087001,85.3076823
2543546393,cafe,भाउजूको भट्टी,27.6817082,85.3199675
2572297171,restaurant,The Lazy Gringo,27.6732438,85.3141519
2584735236,cafe,AITM Tea Shop,27.6569487,85.3329305
2584740429,pharmacy,पुन्नारजीवन मेडिकल हल,27.6585239,85.3227092
2584754046,restaurant,Moon light,27.7169615,85.308037
2584769267,cafe,युनिटी फूड क्याफे,27.6583085,85.3239765
2584769274,bank,हिमालयन बैंक लिमिटेड,27.65888,85.3256542
2584769283,bank,एनआईसी एसिया,27.6581184,85.3243175
2584769290,fuel,श्री महालक्ष्मी विश्वकर्मा व्यापारी,27.6576467,85.3224805
2584801135,restaurant,AEPC Tea Shop,27.6552261,85.3314591
2584827587,restaurant,Newari Khaja Ghar,27.6587098,85.328747
2585341150,bank,KIST Bank,27.7409273,85.3362595
2585365253,place_of_worship,बंगलामुखी मन्दिर,27.7438616,85.3386707
2591253673,school,बेला प्रि स्कुल,27.7055958,85.2953507
2591254206,place_of_worship,पबित्रा बिहार,27.6706479,85.2775974
2591256896,place_of_worship,काकान्चो बिनायक गणेश मन्दिर,27.7037216,85.2972739
2591261167,place_of_worship,नारायण मन्दिर,27.6703782,85.2780087
2591261168,place_of_worship,ल्याबा चिबा,27.6701907,85.2778662
2591277843,place_of_worship,गणेश मन्दिर,27.6976863,85.3068501
2591277844,place_of_worship,पलाञ्चोक भगवती मन्दिर,27.6984556,85.3071793
2592436705,drinking_water,Unnamed,27.7106831,85.3480076
2592436717,drinking_water,Unnamed,27.7108866,85.3481555
2599218224,place_of_worship,गणेश मन्दिर,27.7022543,85.3041905
2607616454,place_of_worship,गणेशथान,27.7015199,85.3401084
2613082533,motorcycle_parking,Unnamed,27.715859,85.289028
2613093222,police,Gaurighat Police Beat,27.7133153,85.3496355
2616884724,toilets,Unnamed,27.7005129,85.3134105
2619331842,toilets,Koteshwor public toilet,27.6785915,85.3489205
2619332296,toilets,Public Toilet,27.7040419,85.3179774
2620944363,place_of_worship,भस्मेश्वर मन्दिर,27.7097584,85.348373
2628088727,drinking_water,Unnamed,27.6844694,85.2501292
2628358565,toilets,Unnamed,27.7002138,85.3135883
2628358569,toilets,Unnamed,27.7048312,85.3135715
2628358572,toilets,Unnamed,27.7059004,85.3143816
2628358575,toilets,Unnamed,27.7066659,85.3144957
2628358576,toilets,Unnamed,27.7070015,85.3148099
2628431255,toilets,Unnamed,27.7033916,85.3174315
2629593466,school,न्यु मोडेल शिक्षा संस्थान,27.6689492,85.3217194
2629596158,bank,Nepal Mega Investment Bank Limited,27.6688285,85.3216942
2638075950,cafe,Lila Cold Store,27.6715423,85.2764525
2659104413,place_of_worship,कुमारी घर,27.7037702,85.3065239
2668883270,restaurant,La dolce vita italian restaurant,27.714979,85.3103769
2671152253,place_of_worship,भुवनेश्वरी मन्दिर,27.7105311,85.3463102
2671331583,place_of_worship,बालकुमारी मन्दिर,27.7101631,85.3457126
2671331585,place_of_worship,दक्षिनमूर्ति,27.711358,85.3470006
2671331586,place_of_worship,पाचो गणेश,27.7112607,85.3462217
2684628946,bank,युनाइटेड फाइनान्स प्राइभेट लिमिटेड,27.7102901,85.3183025
2684629133,restaurant,galkot restaurant,27.6831842,85.3314489
2684629645,pharmacy,Anushree Medico,27.68377,85.3333664
2684630120,cafe,hangout,27.6850859,85.3346508
2684631578,bank,Standard Chartered Bank,27.6877172,85.3355592
2684686175,fast_food,Burger King,27.7398694,85.3377501
2684754389,place_of_worship,बुद्ध मूर्ति,27.6712151,85.3150658
2684756028,cafe,Goel Bakery,27.6689905,85.3100817
2684756249,restaurant,Tibetan Restaurant,27.6704321,85.3100777
2684756431,cafe,Newari Fast Food,27.6688312,85.3098016
2684757122,cafe,Tandoori fast food,27.671919,85.3129037
2684757427,cafe,momomiya darjeeling restaurant,27.6687439,85.3097523
2684758104,bank,patan money exchange,27.6719457,85.3161738
2684758105,place_of_worship,तिबेटियन गुम्बा,27.6678389,85.3092633
2684758393,atm,Mega Money Machine,27.6713606,85.3121164
2684758536,restaurant,catalyst cafe,27.6695878,85.3095754
2684761311,cafe,Abishek khaja Ghar,27.6708713,85.3120842
2684762108,clinic,Nirvana,27.6710328,85.3117033
2684763110,pharmacy,Bethesba Pharmacy,27.6709998,85.3116944
2684763711,cafe,Kathmandu Tea Room,27.670217,85.3123899
2684764265,travel_agency,Saudi Nepal Recruitment Agency,27.6697479,85.3092925
2684764289,bank,parimal bahuusshesiya s. ltd.,27.6719282,85.316274
2684764300,cafe,New Tasty Khaja Ghar,27.6707265,85.3119549
2684764541,dentist,oral dental home,27.6718975,85.3163699
2684764543,restaurant,UK Restaurant,27.6700146,85.309151
2684764544,pharmacy,Unnamed,27.6668409,85.3137995
2684764812,place_of_worship,श्री गुरु गणेश मन्दिर,27.6718357,85.3119575
2684764972,restaurant,Kasthmandap Wine Gallery,27.6700282,85.3091215
2684765035,place_of_worship,नर्मदेश्वर मन्दिर,27.6719849,85.3120282
2684765217,bureau_de_change,Himal remit,27.6719211,85.3163274
2684765220,restaurant,Kancha ko bhancha,27.6703457,85.3089552
2684766528,cafe,Chiya Pasal,27.6697599,85.3125156
2684767904,restaurant,Thakali Bhancha Ghar,27.6697063,85.312548
2684768202,place_of_worship,श्री कार्यशिधि गणेश,27.673972,85.3097008
